time,sinr,cdf
2,0.0008300450939567393,0.2727272727272727
2,0.0008497307028227036,0.2748414376321353
2,0.0009031879237825349,0.2769556025369979
2,0.0009262144143926929,0.27906976744186046
2,0.0009594384723647357,0.28118393234672306
2,0.0009759952964133883,0.2832980972515856
2,0.0009791433127296655,0.2854122621564482
2,0.0009960024625929784,0.28752642706131076
2,0.0009968660411698166,0.28964059196617337
2,0.0010150408871993546,0.2917547568710359
2,0.0010399593396709557,0.2938689217758985
2,0.0010401822020479755,0.2959830866807611
2,0.0010522576840818342,0.29809725158562367
2,0.001052972472119324,0.30021141649048627
2,0.0011378824293633075,0.3023255813953488
2,0.001141099534082356,0.3044397463002114
2,0.0011638331448998675,0.30655391120507397
2,0.0011713454291548211,0.3086680761099366
2,0.001197933910822885,0.3107822410147992
2,0.001226510799051476,0.3128964059196617
